jhstop‚Ì–½—ß—ñ,ƒIƒŠƒWƒiƒ‹,Opaque,ppl
iconst0 ifIcmpne aload invokespecial aload,,1,24476.6
iconst0 ifIcmpne aload ldc invokevirtual,,1,12996.7
iconst0 ifIcmpne gotoInsn astore returnInsn,,1,15221.2
iconst0 ifIcmpne iconst0 istore gotoInsn,,1,18607.7
iconst0 ifIcmpne iconst1 ireturn iconst0,,1,28585.2
iconst0 ifIcmpne iload ifne iload,,1,61855.1
iconst0 ifIcmpne ldc areturn aload,,1,60784.1
iconst0 ifIcmpne ldc invokestatic getstatic,,1,37093.6
iconst0 ifIcmpne newInsn dup ldc,,1,18277.7
iconst0 iload invokespecial astore aload,1,1,11391
iconst0 iload invokespecial astore iconst0,1,1,46321.2
iconst0 invokespecial putstatic newInsn dup,1,1,12763.1
iconst0 istore gotoInsn aload iload,1,1,5654.1
iconst0 istore iconst0 istore gotoInsn,1,1,3998.16
iconst1 iadd invokevirtual bipush iconst0,1,1,97441.4
iconst1 iadd invokevirtual invokeinterface iconst1,1,1,22740.3
iconst1 iconst5 invokespecial putstatic newInsn,1,1,3539.35
iconst1 invokespecial putstatic newInsn dup,1,1,13013.5
iconst1 invokevirtual aload invokevirtual gotoInsn,1,1,6419.57
iconst1 invokevirtual iinc iload aload,1,1,24670
iconst2 iconst0 invokespecial putstatic newInsn,1,1,4771.04
iconst2 irem iconst0 ifIcmpne iconst0,,1,21638
iconst2 irem iconst0 ifIcmpne iload,,1,33648.5
iconst3 irem iconst0 ifIcmpne gotoInsn,,1,93285.1
iconst3 irem iconst0 ifIcmpne iconst1,,1,72196.3
iconst3 irem iconst0 ifIcmpne newInsn,,1,28154.5
iconst3 irem iconst0 ifIcmpne returnInsn,,1,35893
iconst4 getstatic invokespecial putfield aload,1,1,25519.5
iconst4 iconst1 invokespecial putstatic newInsn,1,1,4870.55
iconst5 invokespecial putstatic newInsn dup,1,1,17305.2
iconstM1 putfield aload aconstNull putfield,1,1,4964.65
iconstM1 putfield aload aload putfield,1,1,5866.51
ifAcmpne iload dup imul iconst2,,1,7.42E+06
ifeq iload dup imul iconst2,,1,1.18E+06
ifIcmple iload dup dup dup,,1,2.05E+06
ifIcmple iload dup imul iconst2,,1,1.95E+06
ifIcmplt iload dup dup dup,,1,1.53E+06
ifIcmplt iload dup iconst1 iadd,,1,26006.7
ifIcmpne aload aload aload invokeinterface,,1,3343.71
ifIcmpne aload aload getfield aload,,1,9188.91
ifIcmpne aload aload invokeinterface invokevirtual,,1,8279.09
ifIcmpne aload getfield aload aload,,1,23922.3
ifIcmpne aload getfield aload getfield,,1,2508.92
ifIcmpne aload iload iconst1 invokevirtual,,1,16587.9
ifIcmpne aload invokespecial aload getfield,,1,3955.16
ifIcmpne aload ldc invokevirtual ifne,,1,11864.6
ifIcmpne iconst0 istore gotoInsn aload,,1,8943.18
ifIcmpne iconst1 ireturn iconst0 ireturn,,1,2506.49
ifIcmpne iload ifne iload dup,,1,18478.5
ifIcmpne ldc areturn aload getfield,,1,6709.79
ifIcmpne ldc invokestatic getstatic invokestatic,,1,42814.8
ifIcmpne newInsn dup ldc aload,,1,9492.96
ifne iload dup imul iconst2,,1,1.00E+06
ifnonnull aload ldc putfield gotoInsn,1,1,7414.91
ifnonnull iload dup imul iconst2,,1,1.06E+06
iinc iload aload invokevirtual ifIcmplt,1,1,1171.67
iload aload invokevirtual ifIcmplt iload,,1,17460.9
iload iconst1 invokevirtual iinc iload,1,1,19226.4
iload ifeq iload dup dup,,1,144630
iload ifeq iload dup iconst1,,1,40592
iload ifeq iload dup imul,,1,240135
iload ifne iload dup dup,,1,79186
iload iload invokespecial aload aconstNull,1,1,21596.2
iload invokespecial astore aload getstatic,1,1,16123.2
iload invokespecial astore iconst0 istore,1,1,10213.7
iload invokevirtual aload getfield invokevirtual,1,1,2065.74
iload invokevirtual aload invokevirtual ifeq,1,1,2266.44
invokeinterface aload iconst0 aload arraylength,1,1,42485.4
invokeinterface iconst1 istore gotoInsn astore,1,1,13964.6
invokeinterface invokestatic invokespecial getstatic invokevirtual,1,1,23503.8
invokeinterface invokestatic invokespecial invokevirtual invokestatic,1,1,19571.4
invokeinterface invokevirtual getstatic invokevirtual aload,1,1,10451.4
invokeinterface invokevirtual iconst1 iadd invokevirtual,1,1,24662
invokeinterface invokevirtual ifeq iload dup,,1,37036.2
invokeinterface invokevirtual invokevirtual invokestatic aload,1,1,8987.66
invokeinterface invokevirtual invokevirtual invokestatic newInsn,1,1,2417.58
invokeinterface invokevirtual invokevirtual invokevirtual astore,1,1,10083.4
invokespecial aload getfield invokevirtual gotoInsn,1,1,4094.11
invokespecial aload invokeinterface invokevirtual getstatic,1,1,16123.3
invokespecial aload invokevirtual invokevirtual invokevirtual,1,1,2772.29
invokespecial aload invokevirtual invokevirtual ldc,1,1,7865.23
invokespecial aload invokevirtual ldc invokevirtual,1,1,3413.71
invokespecial astore iconst0 istore iconst0,1,1,8981.58
invokespecial getstatic invokevirtual aload invokeinterface,1,1,5169.22
invokespecial invokevirtual invokestatic aload invokeinterface,1,1,7509.02
invokespecial putfield aload getfield aload,1,1,4187.27
invokespecial putfield aload getfield ldc,1,1,6467.37
invokespecial putstatic ldc putstatic returnInsn,1,1,4287.86
invokestatic aload aload putfield aload,1,1,5397.93
invokestatic aload invokespecial aload getfield,1,1,5373.26
invokestatic aload newInsn dup ldc,1,1,9746.94
invokestatic getstatic invokestatic gotoInsn astore,1,1,17173.6
invokestatic gotoInsn astore aload invokevirtual,1,1,10956
invokestatic iload ifeq iload dup,,1,31557.1
invokestatic invokespecial getstatic invokevirtual aload,1,1,8391.98
invokestatic invokespecial invokevirtual invokestatic aload,1,1,10241.5
invokestatic newInsn dup aload invokeinterface,1,1,3512.03
invokestatic newInsn dup aload invokevirtual,1,1,5491.91
invokestatic returnInsn iconst0 istore gotoInsn,1,1,13238
invokevirtual aload aload putfield returnInsn,1,1,3299.6
invokevirtual aload getfield invokevirtual ifAcmpne,1,1,3345.09
invokevirtual aload getfield invokevirtual ifne,1,1,4754.49
invokevirtual aload getfield ldc invokevirtual,1,1,2528.13
invokevirtual aload iconst1 invokevirtual aload,1,1,1920.45
invokevirtual aload invokevirtual getstatic invokevirtual,1,1,8814.4
invokevirtual aload invokevirtual gotoInsn astore,1,1,6849.75
invokevirtual aload invokevirtual ifeq iload,,1,15704.3
invokevirtual astore newInsn dup ldc,1,1,6140.87
invokevirtual bipush iconst0 getstatic invokespecial,1,1,64878.2
invokevirtual getstatic invokevirtual aload invokeinterface,1,1,4535.87
invokevirtual gotoInsn astore aload aload,1,1,5043.17
invokevirtual gotoInsn astore iinc iload,1,1,14945.9
invokevirtual gotoInsn newInsn dup aload,1,1,7284.14
invokevirtual iconst1 iadd invokevirtual bipush,1,1,22842.8
invokevirtual iconst1 iadd invokevirtual invokeinterface,1,1,8130.27
invokevirtual ifAcmpne iload dup imul,,1,4.28E+06
invokevirtual ifIcmple iload dup dup,,1,612199
invokevirtual ifIcmple iload dup imul,,1,1.02E+06
invokevirtual ifIcmplt iload dup dup,,1,762618
invokevirtual ifIcmplt iload dup iconst1,,1,174752
invokevirtual ifne iload dup imul,,1,393888
invokevirtual iinc iload aload invokevirtual,1,1,7824.31
invokevirtual invokeinterface iconst1 istore gotoInsn,1,1,17603.4
invokevirtual invokevirtual astore newInsn dup,1,1,3568.14
invokevirtual invokevirtual invokestatic aload invokeinterface,1,1,4602.35
invokevirtual invokevirtual invokevirtual astore newInsn,1,1,4411.05
invokevirtual invokevirtual invokevirtual invokestatic newInsn,1,1,1755.76
invokevirtual invokevirtual invokevirtual invokestatic returnInsn,1,1,2580.32
invokevirtual invokevirtual ldc invokevirtual aload,1,1,3989.47
invokevirtual invokevirtual putfield gotoInsn astore,1,1,13888.3
invokevirtual ldc invokevirtual aload invokeinterface,1,1,3274.2
invokevirtual ldc invokevirtual aload invokevirtual,1,1,3652.94
invokevirtual pop aload getfield getstatic,1,1,13610.1
invokevirtual pop aload getfield ldc,1,1,7510.92
invokevirtual pop aload invokevirtual returnInsn,1,1,1713.93
invokevirtual pop aload newInsn dup,1,1,4825.9
invokevirtual pop gotoInsn aload ldc,1,1,9432.54
invokevirtual putfield gotoInsn astore aload,1,1,8976.72
irem iconst0 ifIcmpne aload iload,,1,78933.8
irem iconst0 ifIcmpne aload invokespecial,,1,26117.6
irem iconst0 ifIcmpne aload ldc,,1,136919
irem iconst0 ifIcmpne iconst0 istore,,1,31423.9
irem iconst0 ifIcmpne iconst1 ireturn,,1,14749.5
irem iconst0 ifIcmpne iload ifne,,1,67340.2
irem iconst0 ifIcmpne ldc areturn,,1,70883.1
irem iconst0 ifIcmpne ldc invokestatic,,1,63318.7
istore aload aload getfield invokevirtual,,1,2801.89
istore aload aload invokevirtual putfield,,1,3102.47
istore aload getfield ifnonnull iload,,1,14952.4
istore aload invokespecial aload getfield,,1,4709.6
istore aload invokevirtual aload getfield,,1,3289.7
istore getstatic newInsn dup ldc,,1,15276.9
istore gotoInsn aload iload invokevirtual,1,1,3164.07
istore ldc invokestatic aload invokespecial,,1,8698.58
istore ldc invokestatic aload newInsn,,1,10230.5
istore ldc invokestatic iload ifeq,,1,15211.8
istore newInsn dup aload invokevirtual,,1,5488.36
istore newInsn dup ldc invokespecial,,1,8748.75
istore newInsn dup ldc ldc,,1,123245
ldc aload getstatic invokevirtual iconst1,1,1,23263.9
ldc areturn aload getfield areturn,1,1,2170.78
ldc bipush ldc getstatic invokespecial,1,1,14327.7
ldc getstatic invokespecial putfield aload,1,1,15654.8
ldc iconst1 iconst5 invokespecial putstatic,1,1,23641.5
ldc iconst2 iconst0 invokespecial putstatic,1,1,10454.2
ldc iconst4 getstatic invokespecial putfield,1,1,25199.9
ldc iconst4 iconst1 invokespecial putstatic,1,1,12480.8
ldc invokespecial aload invokeinterface invokevirtual,1,1,6787.5
ldc invokespecial aload invokevirtual ldc,1,1,8323.35
ldc invokestatic aload aload putfield,1,1,6267.96
ldc invokestatic aload invokespecial aload,1,1,11927.5
ldc invokestatic aload newInsn dup,1,1,10966.7
ldc invokestatic getstatic invokestatic gotoInsn,1,1,16162.6
ldc invokestatic iload ifeq iload,,1,25209.8
ldc invokevirtual aload invokeinterface invokevirtual,1,1,4503.96
ldc invokevirtual ifeq iload dup,,1,22988.4
ldc invokevirtual ifne iload dup,,1,33796.8
ldc invokevirtual pop aload newInsn,1,1,3640.67
ldc ldc bipush ldc getstatic,1,1,70210.1
ldc putfield gotoInsn aload aload,1,1,4617.47
ldc putstatic ldc putstatic returnInsn,1,1,2851.04
newInsn dup aload invokespecial putfield,1,1,2861.71
newInsn dup ldc aload getstatic,1,1,24625
newInsn dup ldc iconst1 iconst5,1,1,29606.3
newInsn dup ldc iconst2 iconst0,1,1,17516.2
newInsn dup ldc iconst4 getstatic,1,1,11455.1
newInsn dup ldc iconst4 iconst1,1,1,20063.8
pop aload getfield getstatic invokevirtual,1,1,8077.79
pop aload getfield ldc aconstNull,1,1,8099.29
pop aload newInsn dup aload,1,1,9256.82
pop gotoInsn aload ldc invokevirtual,1,1,3969.07
putfield aload aconstNull putfield ldc,1,1,9772.56
putfield aload aload invokestatic putfield,1,1,4102.41
putfield aload aload putfield returnInsn,1,1,2284.81
putfield aload getfield aload getfield,1,1,1896.11
putfield aload getfield ldc aconstNull,1,1,8693.58
putfield aload ifnonnull aload ldc,1,1,35146.7
putfield gotoInsn aload aload putfield,1,1,4709.41
putfield gotoInsn astore aload aconstNull,1,1,17882.8
putfield ldc invokestatic aload aload,1,1,14496.7
putstatic newInsn dup ldc iconst4,1,1,5923.07
returnInsn iconst0 istore gotoInsn aload,1,1,8831.68
<code> <code> <code> <code> getstatic,1,,86.8078
<code> <code> <code> <code> iconst0,1,,113.305
<code> <code> <code> <code> returnInsn,2,,113.123
<code> <code> <code> aload getfield,10,,659.436
<code> <code> <code> aload iload,2,,2109.75
<code> <code> <code> aload invokevirtual,1,,1086.85
<code> <code> <code> getstatic newInsn,1,,1065.95
<code> <code> <code> iconst0 istore,1,,1645.05
<code> <code> <code> ldc invokestatic,5,,2169.26
<code> <code> aload aload getfield,4,,2026.96
<code> <code> aload aload invokevirtual,1,,1778.3
<code> <code> aload aload putfield,4,,2995.8
<code> <code> aload getfield areturn,5,,1682.54
<code> <code> aload getfield ifnonnull,1,,1338.81
<code> <code> aload getfield invokevirtual,2,,1458.1
<code> <code> aload getfield ireturn,2,,2241.32
<code> <code> aload iload putfield,2,,2819.96
<code> <code> aload invokevirtual aload,1,,1297.76
<code> <code> getstatic newInsn dup,1,,3196.46
<code> <code> iconst0 istore gotoInsn,1,,2572.17
<code> <code> ldc invokestatic aload,2,,3878.36
<code> <code> ldc invokestatic iconst0,2,,12295.4
<code> <code> ldc invokestatic iload,1,,10815.2
<code> <code> newInsn dup aload,1,,3121.05
<code> aload aload aload invokevirtual,3,,2205.71
<code> aload aload getfield iconst1,3,,9583.36
<code> aload aload getfield invokevirtual,1,,1173.95
<code> aload aload invokevirtual putfield,1,,1239.74
<code> aload aload putfield newInsn,2,,1464.62
<code> aload aload putfield returnInsn,2,,1179.62
<code> aload getfield ifnonnull ldc,1,,3296.96
<code> aload getfield invokevirtual areturn,2,,691.794
<code> aload iload putfield returnInsn,2,,906.187
<code> aload invokespecial aload getfield,1,,1255.11
<code> aload invokevirtual aload getfield,1,,1138.68
<code> getstatic newInsn dup ldc,1,,7588.57
<code> iconst0 istore gotoInsn aload,1,,3693.15
<code> ldc invokestatic aload invokespecial,1,,2980.73
<code> ldc invokestatic aload newInsn,1,,2998.36
<code> ldc invokestatic iconst0 istore,2,,4160.77
<code> ldc invokestatic iload ifeq,1,,7499.39
<code> newInsn dup aload invokevirtual,1,,2082.81
<code> newInsn dup ldc invokespecial,1,,2540.38
<code> newInsn dup ldc ldc,1,,34052.5
aload getfield ifnonnull ldc areturn,1,,4014.75
aload getfield invokevirtual ifAcmpne iconst1,1,,10412.3
aload getfield invokevirtual ifIcmple gotoInsn,2,,8189.36
aload getfield invokevirtual ifIcmplt aload,1,,8319.9
aload getfield invokevirtual ifIcmplt returnInsn,3,,2361.12
aload getfield invokevirtual ifne aload,1,,6132.18
aload getstatic invokevirtual ifeq newInsn,1,,4189.66
aload invokeinterface ifge aload aload,2,,20198.4
aload invokeinterface invokevirtual ifeq aload,1,,4358.08
aload invokevirtual ifeq aload getfield,5,,2980.08
aload invokevirtual ifIcmplt gotoInsn astore,1,,11108.7
aload ldc invokevirtual ifeq aload,1,,3633.08
aload ldc invokevirtual ifne aload,1,,8063.85
astore iinc iload ifeq newInsn,2,,4013.71
getfield aload invokevirtual ifeq aload,4,,2571.66
getfield ifnonnull ldc areturn aload,1,,9613.39
getfield invokevirtual ifAcmpne iconst1 ireturn,1,,7438.35
getfield invokevirtual ifIcmple gotoInsn astore,2,,17444.9
getfield invokevirtual ifIcmplt aload getfield,1,,3993.35
getfield invokevirtual ifIcmplt iload ifne,1,,10694.7
getfield invokevirtual ifne aload iload,1,,24916.6
getstatic invokevirtual ifAcmpne aload getfield,5,,10273.2
getstatic invokevirtual ifAcmpne ldc invokestatic,1,,36458.5
getstatic invokevirtual ifeq newInsn dup,1,,6542.89
getstatic invokevirtual invokevirtual ifne aload,2,,13726.1
getstatic invokevirtual invokevirtual ifne iconst0,1,,17939.8
ifAcmpne aload getfield aload getfield,1,,3246.33
ifAcmpne aload getfield aload invokevirtual,2,,2531.42
ifAcmpne aload getfield invokevirtual gotoInsn,2,,4078.24
ifAcmpne iconst1 ireturn iconst0 ireturn,1,,2817.14
ifAcmpne ldc invokestatic getstatic invokestatic,1,,103671
ifeq aload aload aload invokeinterface,1,,2096.71
ifeq aload getfield iconst0 invokevirtual,2,,7600.13
ifeq aload getfield iconst1 invokevirtual,2,,5194.18
ifeq aload getfield iload invokevirtual,2,,1657.92
ifeq aload invokespecial aload getfield,1,,3762.88
ifeq newInsn dup aload iconst0,2,,18689.8
ifeq newInsn dup ldc aload,1,,7673.21
ifge aload aload getfield aload,1,,12566.3
ifge aload aload invokeinterface invokevirtual,1,,13843.7
ifIcmple gotoInsn astore aload invokevirtual,2,,25443.9
ifIcmplt aload getfield invokevirtual gotoInsn,1,,5003.68
ifIcmplt iload ifne aload ldc,1,,37215.9
ifne aload getfield aload aload,1,,17069.7
ifne aload getfield iload invokevirtual,1,,1948.4
ifne aload getfield invokevirtual gotoInsn,1,,3600.36
ifne aload iload iconst1 invokevirtual,1,,22292.6
ifne aload ldc invokevirtual ifne,1,,6561.22
ifne iconst0 istore gotoInsn aload,1,,8437.66
ifnonnull ldc areturn aload getfield,1,,5205.48
iinc iload ifeq newInsn dup,2,,13274.4
iload aload invokevirtual ifIcmplt gotoInsn,1,,3053.22
iload ifeq aload invokespecial aload,1,,12509
iload ifeq newInsn dup aload,2,,9954.16
iload ifne aload ldc invokevirtual,1,,7253.51
invokeinterface ifge aload aload getfield,1,,19375.1
invokeinterface ifge aload aload invokeinterface,1,,5163.29
invokeinterface invokevirtual ifeq aload aload,1,,4081.31
invokestatic aload invokeinterface ifge aload,2,,10020.3
invokestatic iload ifeq aload invokespecial,1,,9323.41
invokevirtual aload invokevirtual ifeq aload,1,,2224.94
invokevirtual getstatic invokevirtual ifAcmpne aload,5,,14408.9
invokevirtual getstatic invokevirtual ifAcmpne ldc,1,,11435.5
invokevirtual ifAcmpne aload getfield aload,3,,7652.1
invokevirtual ifAcmpne aload getfield invokevirtual,2,,3400.16
invokevirtual ifAcmpne iconst1 ireturn iconst0,1,,13520.8
invokevirtual ifAcmpne ldc invokestatic getstatic,1,,89651.3
invokevirtual ifeq aload aload aload,1,,16270.3
invokevirtual ifeq aload getfield iconst0,2,,9400.96
invokevirtual ifeq aload getfield iconst1,2,,7132.72
invokevirtual ifeq aload getfield iload,2,,7515.93
invokevirtual ifeq newInsn dup ldc,1,,5489.11
invokevirtual ifIcmple gotoInsn astore aload,2,,20227.6
invokevirtual ifIcmplt aload getfield invokevirtual,1,,2890.52
invokevirtual ifIcmplt gotoInsn astore returnInsn,1,,6245.06
invokevirtual ifIcmplt iload ifne aload,1,,11576
invokevirtual ifne aload getfield aload,1,,3841.66
invokevirtual ifne aload getfield iload,1,,7043.77
invokevirtual ifne aload getfield invokevirtual,1,,2119.15
invokevirtual ifne aload iload iconst1,1,,20900.7
invokevirtual ifne iconst0 istore gotoInsn,1,,5151.76
invokevirtual invokevirtual ifne aload getfield,2,,4974.77
invokevirtual invokevirtual ifne iconst0 istore,1,,8802.6
ldc invokestatic iload ifeq aload,1,,10245
ldc invokevirtual ifeq aload getfield,1,,3361.88
ldc invokevirtual ifne aload getfield,1,,4427.33
