Zalcalの命令列,オリジナル,不明,ppl
aload dup dupX2 aconstNull aload,,,1.61E+06
aload dup dupX2 aconstNull dup,,,5.34E+06
aload dup dupX2 aload dup,,,3.03E+06
aload dup dupX2 aload putfield,,,1.41E+06
aload dup dupX2 invokespecial newInsn,,,579268
aload dup dupX2 lconst0 aload,,,2.30E+06
aload dup getfield invokevirtual getfield,,,28776.8
aload dup getfield invokevirtual ldc,,,27764.5
aload dup invokeinterface anewarray invokeinterface,,,850607
aload dup newInsn dup ldc,,,117937
aload dupX1 aconstNull dup aload,,,1.91E+06
aload dupX1 aload aconstNull aload,,,1.15E+06
aload dupX1 aload invokespecial putfield,,,354066
aload dupX1 aload invokevirtual iload,,,271379
aload dupX1 aload putfield invokespecial,,,2.16E+06
aload dupX1 bipush bipush aload,,,1.12E+06
aload dupX1 dconst1 ldc aload,,,1.77E+06
aload dupX1 dupX2 aload aload,,,3.11E+06
aload dupX1 dupX2 iconst2 aload,,,5.73E+06
aload dupX1 iconst0 aconstNull aload,,,1.16E+06
aload dupX1 iconst0 dup aload,,,2.59E+06
aload dupX1 iconst0 ldc aload,,,1.11E+06
aload dupX1 iconst1 putfield putfield,,,1.24E+06
aload dupX1 iconst4 aload iconst0,,,2.14E+06
aload dupX1 invokespecial putfield putfield,,,1.39E+06
aload dupX1 invokespecial putfield returnInsn,,,169246
aload dupX1 ldc iconst0 aload,,,1.59E+06
aload dupX1 ldc putfield putfield,,,1.88E+06
aload dupX2 aload aload dupX1,,,795248
aload dupX2 dconst1 aload iconst1,,,2.11E+06
aload dupX2 getfield invokespecial putfield,,,48834.2
aload dupX2 iconst0 dup aload,,,1.51E+06
aload dupX2 iconst1 aload iconst0,,,574594
aload dupX2 iconst1 putfield putfield,,,550298
aload dupX2 iconst3 aload dupX1,,,2.87E+06
aload dupX2 lconst0 dup2 aload,,,1.63E+06
aload dupX2 ldc invokevirtual putfield,,,337004
aload getfield astore ldc invokestatic,,,24529.2
aload getfield iload aaload dup,,,2545.15
aload getfield iload iconst1 isub,2,,10108.4
aload getfield invokevirtual iconst1 ifne,,,3940.44
aload getfield ldc invokestatic invokespecial,,,10641.2
aload gotoInsn aload astore aload,,,4880.91
aload gotoInsn aload invokevirtual ldc,,,17805.6
aload gotoInsn astore aload aload,,,17372.5
aload iconst0 aload aload iconst3,,,62531.7
aload iconst0 putfield putfield putfield,,,158706
aload iconst1 putfield putfield putfield,,,128759
aload iconst2 aload dupX1 iconst0,,,793799
aload iconst2 aload dupX1 ldc,,,698907
aload iconst3 aload dupX1 iconst0,,,1.04E+06
aload iconst3 aload dupX1 iconst1,,,694636
aload iconst5 invokevirtual astore aload,,,7790.56
aload iload dupX1 invokevirtual iinc,,,126689
aload iload iinc dupX1 invokevirtual,,,271149
aload iload iload invokevirtual invokeinterface,1,,8572.04
aload invokeinterface checkcast invokevirtual dup,,,32657.9
aload invokespecial astore aload aload,,,2921.82
aload invokespecial invokevirtual astore ldc,,,16146.8
aload invokestatic dup astore ldc,,,40512.7
aload invokestatic invokespecial ldc invokestatic,,,20090.6
aload invokestatic putfield getfield ifnull,,,76469.3
aload invokevirtual aastore invokevirtual aconstNull,,,7052.8
aload invokevirtual aload aload dupX1,,,8693.14
aload invokevirtual aload iconst2 aload,,,11251
aload invokevirtual aload iconst3 aload,,,11949.4
aload invokevirtual aload ldc aload,,,9300.12
aload invokevirtual dup astore ifnonnull,,,3590.64
aload invokevirtual dup newarray iconst1,,,824041
aload invokevirtual getfield invokevirtual astore,,,10697
aload invokevirtual iconst0 aload dup,,,62921.9
aload invokevirtual ifIcmplt aload dup,,,22812
aload invokevirtual iload invokevirtual iload,,,13135.6
aload invokevirtual invokevirtual astore aload,,,3597.64
aload invokevirtual istore iload iconst1,,,28943.2
aload invokevirtual istore iload iload,1,,31183.1
aload invokevirtual l2i istore newInsn,2,,2215.43
aload invokevirtual ldc invokestatic invokevirtual,,,7816.2
aload invokevirtual newInsn dup ldc,,,7008.97
aload invokevirtual putfield putfield putfield,,,164225
aload ldc aload dupX2 iconst1,,,295608
aload ldc iconst1 ifne pop,,,84250.5
aload ldc invokestatic invokevirtual invokevirtual,,,8785.97
aload ldc ldc iconstM1 aload,,,15674.5
aload putfield invokespecial putfield invokespecial,,,455089
aload putfield invokespecial putfield putfield,,,403170
aload swap ifeq iload newInsn,,,164066
anewarray astore iconst0 dup istore,,,24867.9
areturn iconst1 ifne pop aconstNull,,,47470.5
arraylength anewarray astore iconst0 dup,,,5548.2
astore aconstNull astore gotoInsn istore,,,153386
astore aload aload invokevirtual getfield,,,8682.25
astore aload aload invokevirtual gotoInsn,,,4493.85
astore aload aload invokevirtual ldc,,,7086.42
astore aload aload ldc iconst1,,,10210.7
astore aload bipush aload dupX1,,,151574
astore aload dup aload invokestatic,,,59424
astore aload gotoInsn aload astore,,,29580.4
astore aload gotoInsn aload invokevirtual,,,16623.6
astore aload iconst2 aload dupX1,,,168248
astore aload invokevirtual l2i istore,2,,10360.3
astore getfield aload invokevirtual dup,,,144321
astore getfield aload invokevirtual newInsn,,,7400.43
astore gotoInsn astore aload invokevirtual,,,9821.33
astore gotoInsn dload ldc dadd,,,15627.4
astore gotoInsn dload ldc ddiv,,,5941.19
astore gotoInsn dup aload invokestatic,,,100143
astore gotoInsn iinc iload aload,,,18290
astore gotoInsn ireturn ldc dload,,,138772
astore gotoInsn istore newInsn dup,,,247771
astore gotoInsn ldc dload ldc,,,123477
astore gotoInsn ldc iconstM1 aconstNull,,,71759.7
astore gotoInsn pop aload invokeinterface,,,6401.15
astore iconst0 dup istore gotoInsn,,,7532.39
astore iconst0 istore iconst0 istore,1,,3707.05
astore ifnonnull ldc astore aload,,,22467.9
astore ifnonnull newInsn dup newInsn,,,2591.1
astore ifnull newInsn dup aconstNull,,,38135.6
astore istore dupX2 pop istore,,,862233
astore istore dupX2 pop2 istore,,,3.19E+06
astore ldc aload aload dupX2,,,282348
astore ldc iconst1 anewarray dup,,,22419.8
astore ldc invokestatic astore newInsn,,,5303.16
astore ldc invokevirtual aload swap,,,118708
astore newInsn dup invokespecial invokevirtual,,,4577.06
bipush aload dupX1 aload invokevirtual,,,539151
bipush aload dupX1 bipush bipush,,,2.34E+06
bipush bipush aload dupX1 aload,,,1.85E+06
bipush bipush iconst0 invokevirtual invokevirtual,,,22224
bipush iconst0 invokespecial putfield putfield,,,92369.1
bipush iconst0 invokevirtual invokevirtual returnInsn,,,5671.26
bipush iload invokevirtual aload getfield,1,,5140.92
bipush iload invokevirtual dup istore,,,24131
bipush iload invokevirtual istore iload,1,,15378.8
bipush invokespecial putfield newInsn dup,,,12084.6
bipush invokespecial putfield putfield putfield,,,401577
bipush irem iconst1 ifne pop,,,109020
castore iload gotoInsn newInsn dup,,,113158
castore iload iflt aload aload,,,39789.9
checkcast invokevirtual astore iconst0 istore,1,,10790.8
checkcast invokevirtual dup astore ifnull,,,3751
checkcast invokevirtual ldc invokestatic invokevirtual,,,14963.4
checkcast invokevirtual ldc invokevirtual iload,2,,44176
checkcast invokevirtual newInsn dup aload,,,12320.3
checkcast putfield newInsn dup aload,,,17743.5
d2i bipush irem iconst1 ifne,,,269625
d2l lconst1 ladd lreturn iconst1,,,31348.8
d2l lreturn iconst1 ifne aconstNull,,,612594
dadd invokestatic d2l lreturn iconst1,,,35602.3
dadd ldc ddiv dup2 dstore,,,11272.7
dconst1 aload iconst1 putfield putfield,,,134867
dconst1 ldc aload dupX2 iconst1,,,768879
ddiv dup2 dstore ldc drem,,,140061
ddiv ldc ddiv ldc drem,,,14397.5
dload dmul ldc drem dstore,,,14894.7
dload ldc ddiv dup2 dstore,,,27339.8
dload ldc ddiv ldc ddiv,,,3718.78
dmul dstore iconst1 istore iload,,,25047.7
dmul ldc drem dstore iload,,,34728.9
drem dstore iload ifne iconst1,,,39486.3
dstore iconst1 istore iload iconst1,,,80548.6
dstore iload ifne iconst1 ifne,,,153269
dstore ldc dload dmul ldc,,,10685.9
dstore ldc drem dstore iload,,,250992
dup aload dup dupX1 getfield,,,1.35E+06
dup aload dup dupX2 aload,,,710395
dup aload dupX1 aconstNull dup,,,5.73E+06
dup aload dupX1 dconst1 ldc,,,3.11E+06
dup aload dupX1 iconst0 aconstNull,,,2.89E+06
dup aload dupX1 invokespecial putfield,,,1.11E+06
dup aload dupX2 aload aload,,,208289
dup aload dupX2 getfield invokespecial,,,9791.33
dup aload getfield ldc invokestatic,,,13369.2
dup aload invokespecial invokevirtual astore,,,6134.97
dup aload invokestatic putfield getfield,,,282686
dup aload ldc invokestatic invokevirtual,,,17544.9
dup aload putfield invokespecial returnInsn,,,143092
dup astore gotoInsn aload invokeinterface,,,8328.45
dup astore ifnonnull ldc astore,,,10558.3
dup astore ifnonnull newInsn dup,,,11733.6
dup astore ifnull newInsn dup,,,15716.5
dup astore ldc iconst1 anewarray,,,22386.1
dup astore ldc invokevirtual aload,,,7083.98
dup bipush invokespecial putfield newInsn,,,3129.42
dup bipush invokespecial putfield putfield,,,58109.6
dup dup2 invokespecial newInsn dup,,,614320
dup dupX1 dup2 dup2 dup2,,,3.81E+07
dup dupX1 dup2 newInsn dup,,,5.33E+06
dup dupX1 getfield invokespecial ldc,,,1.17E+06
dup dupX1 iconst0 iconst2 invokevirtual,,,955226
dup dupX2 aconstNull aload dupX1,,,2.30E+06
dup dupX2 aconstNull dup aload,,,1.21E+06
dup dupX2 aload dup aload,,,1.32E+06
dup dupX2 aload dup dup2,,,5.43E+06
dup dupX2 aload putfield invokespecial,,,1.35E+06
dup dupX2 invokespecial newInsn dup,,,230200
dup dupX2 lconst0 aload dupX2,,,1.92E+06
dup getfield invokevirtual getfield aload,,,130111
dup getfield invokevirtual ldc invokestatic,,,97763.4
dup iconst3 invokespecial putfield newInsn,,,3196.23
dup invokeinterface anewarray invokeinterface checkcast,,,34243.7
dup invokespecial astore aload bipush,,,26734.5
dup invokespecial astore aload iconst2,,,16784.7
dup invokespecial astore iconst0 dup,,,5634.77
dup invokespecial astore iconst0 istore,1,,7007.61
dup invokespecial astore newInsn dup,,,2911.93
dup invokespecial invokevirtual aload dup,,,33811.8
dup invokespecial putfield getfield iconst0,,,264261
dup invokespecial putfield newInsn dup,,,9243.44
dup invokespecial putfield putfield invokestatic,,,68444
dup ishl iconst2 ixor iconst2,,,2.43E+06
dup ishl iconst3 ixor ixor,,,2.03E+06
dup istore aload invokevirtual ifIcmplt,,,57442
dup istore gotoInsn aload bipush,,,57446.7
dup istore gotoInsn aload getfield,,,10708.8
dup istore iconstM1 ifIcmpne aload,,,8461.93
dup ldc invokestatic invokespecial aload,,,7990.83
dup ldc invokestatic invokestatic invokespecial,,,6948.3
dup newarray iconst1 dup pop2,,,1.71E+06
dup newInsn dup ldc invokestatic,,,8600.94
dup pop2 swap iconst1 isub,,,1.21E+06
dup2 aload dupX2 iconst0 dup,,,789125
dup2 dstore ldc drem dstore,,,275660
dup2 dup2 dup2 dup2 sipush,,,5.49E+07
dup2 dup2 dup2 sipush aload,,,1.82E+07
dup2 dup2 sipush aload dupX2,,,2.08E+06
dup2 invokespecial newInsn dup bipush,,,467456
dup2 newInsn dup invokespecial invokevirtual,,,42948.6
dup2 sipush aload dupX2 iconst3,,,1.57E+06
dupX1 aconstNull dup aload dupX1,,,3.76E+06
dupX1 aload aconstNull aload dup,,,1.29E+06
dupX1 aload invokespecial putfield returnInsn,,,36279.3
dupX1 aload invokevirtual iload invokevirtual,,,73504.6
dupX1 aload putfield invokespecial putfield,,,673220
dupX1 bipush bipush aload dupX1,,,2.22E+06
dupX1 dconst1 ldc aload dupX2,,,2.04E+06
dupX1 dup2 dup2 dup2 dup2,,,7.11E+07
dupX1 dup2 newInsn dup invokespecial,,,526008
dupX1 dupX2 aconstNull invokevirtual returnInsn,,,560209
dupX1 dupX2 aload aload dup,,,4.14E+06
dupX1 dupX2 aload aload dupX1,,,3.47E+06
dupX1 dupX2 iconst2 aload dupX1,,,1.13E+07
dupX1 getfield invokespecial ldc ldc,,,413757
dupX1 iconst0 aconstNull aload dup,,,1.31E+06
dupX1 iconst0 dup aload dupX1,,,5.11E+06
dupX1 iconst0 iconst2 invokevirtual invokestatic,,,173376
dupX1 iconst0 ldc aload dupX2,,,1.27E+06
dupX1 iconst1 putfield putfield getfield,,,1.65E+06
dupX1 iconst4 aload iconst0 aload,,,624340
dupX1 invokespecial putfield putfield putfield,,,1.62E+06
dupX1 invokevirtual iinc iload ixor,,,1.48E+06
dupX1 invokevirtual iload ixor i2c,,,129966
dupX1 ldc iconst0 aload dup,,,1.47E+06
dupX1 ldc putfield putfield getfield,,,2.50E+06
dupX2 aconstNull aload dupX1 aconstNull,,,8.16E+06
dupX2 aconstNull dup aload dup,,,2.17E+06
dupX2 aload aload dup dupX2,,,1.98E+06
dupX2 aload aload dupX1 aload,,,1.78E+06
dupX2 aload aload dupX1 dupX2,,,4.57E+06
dupX2 aload dup aload dupX2,,,988036
dupX2 aload dup dup2 invokespecial,,,1.38E+07
dupX2 aload putfield invokespecial putfield,,,876702
dupX2 dconst1 aload iconst1 putfield,,,293271
dupX2 getfield invokespecial putfield returnInsn,,,37777.3
dupX2 iconst0 dup aload dupX1,,,6.72E+06
dupX2 iconst1 aload iconst0 putfield,,,125091
dupX2 iconst1 putfield putfield putfield,,,1.45E+06
dupX2 iconst2 aload dupX1 iconst4,,,1.19E+07
dupX2 iconst3 aload dupX1 ldc,,,8.21E+06
dupX2 invokespecial newInsn dup sipush,,,661731
dupX2 istore astore istore dupX2,,,228230
dupX2 lconst0 aload dupX2 lconst0,,,8.83E+06
dupX2 lconst0 dup2 aload dupX2,,,745715
dupX2 ldc invokevirtual putfield invokevirtual,,,800379
dupX2 pop istore pop iflt,,,7.17E+06
dupX2 pop2 istore iflt aload,,,3.49E+06
getfield aload invokevirtual aload iconst2,,,18558.9
getfield aload invokevirtual aload iconst3,,,22916
getfield aload invokevirtual dup astore,,,16096.3
getfield aload invokevirtual iconst0 aload,,,10345.4
getfield aload invokevirtual newInsn dup,,,4264.87
getfield aload invokevirtual putfield putfield,,,30525.9
getfield astore ldc invokestatic astore,,,18166.2
getfield iconst1 aload invokestatic dup,,,40905.9
getfield iload aaload dup astore,,,8027.56
getfield iload iconst1 isub invokevirtual,2,,4481.97
getfield invokevirtual checkcast invokevirtual newInsn,,,1591.46
getfield invokevirtual getfield aload getfield,,,6969.99
getfield invokevirtual iconst1 ifne aconstNull,,,19849
getfield invokevirtual ldc invokestatic invokevirtual,,,8499.14
getfield ldc invokestatic invokespecial astore,,,14265.3
getfield ldc invokestatic invokestatic invokevirtual,,,6980.9
getfield ldc invokestatic invokevirtual pop2,,,20149.6
getfield newInsn dup aload dup,,,22460.6
getstatic ldc invokestatic invokevirtual aconstNull,,,8416.22
getstatic ldc invokestatic invokevirtual invokestatic,,,16901.1
getstatic ldc invokevirtual newInsn dup,,,6318.85
gotoInsn aload bipush iload invokevirtual,1,,6351.1
gotoInsn aload invokeinterface checkcast invokevirtual,,,3814.78
gotoInsn astore aload aload invokevirtual,,,4713.56
gotoInsn dload ldc dadd invokestatic,,,33165.7
gotoInsn dload ldc ddiv dstore,,,5314.11
gotoInsn dup aload invokestatic invokespecial,,,79934.3
gotoInsn iinc iload aload getfield,,,8632.16
gotoInsn iload iconst1 isub istore,,,5552.63
gotoInsn iload iload ifIcmple aload,,,6188.56
gotoInsn iload newInsn dup newInsn,,,5616.76
gotoInsn ireturn ldc dload dsub,,,58850.2
gotoInsn istore newInsn dup aload,,,74504
gotoInsn ldc dload ldc ddiv,,,8308.59
gotoInsn ldc dload ldc dsub,,,18723.6
gotoInsn ldc iconstM1 aconstNull aconstNull,,,50043
gotoInsn lload lload lcmp newInsn,,,7899.05
gotoInsn newInsn dup aload invokespecial,,,5061.29
gotoInsn pop aload invokeinterface ifne,,,8882.47
i2c castore iload gotoInsn newInsn,,,61893.1
i2c castore iload iflt aload,,,20079.7
i2l iconst0 i2l lcmp iconst1,,,2552.52
i2l lcmp iconst1 ixor iconst1,,,8714.24
iadd dup istore aload invokevirtual,,,16723.8
iadd istore iload aload invokevirtual,1,,13137.4
iand nop ifne aconstNull astore,,,36365.3
iand nop ifne iconst0 gotoInsn,,,19510.7
iand nop ifne pop iconst0,,,200258
iconst0 aconstNull aload dup dupX2,,,626516
iconst0 aconstNull astore gotoInsn astore,,,28548.4
iconst0 aload aload iconst3 aload,,,27147.8
iconst0 aload dup aload ldc,,,891826
iconst0 aload dup dupX2 aconstNull,,,1.48E+06
iconst0 dup aload dupX1 dconst1,,,7.97E+06
iconst0 dup aload dupX1 iconst0,,,3.80E+06
iconst0 dup istore gotoInsn aload,,,10720.5
iconst0 gotoInsn iload iload ifIcmple,,,4425.64
iconst0 i2l lcmp iconst1 ixor,,,6049.21
iconst0 iconst2 invokevirtual invokestatic istore,1,,15579.5
iconst0 invokespecial putfield putfield putfield,,,400518
iconst0 invokevirtual newInsn dup ldc,,,11875.4
iconst0 invokevirtual newInsn dup newInsn,,,2292.25
iconst0 istore aload dup dupX1,,,288249
iconst0 istore gotoInsn aload bipush,1,,20633.6
iconst0 istore iconst0 istore aload,1,,5377.17
iconst0 istore iconst0 istore iconst0,1,,6504.28
iconst0 ldc aload dupX2 dconst1,,,1.98E+06
iconst0 putfield putfield putfield getfield,,,1.50E+06
iconst1 aload iconst0 putfield putfield,,,119499
iconst1 aload invokestatic dup astore,,,21467.6
iconst1 dup pop2 swap iconst1,,,4.68E+06
iconst1 iadd dup istore aload,,,15864.1
iconst1 iadd istore iload aload,1,,18698.5
iconst1 iand nop ifne aconstNull,,,11486.9
iconst1 iand nop ifne iconst0,,,10552.4
iconst1 iand nop ifne pop,,,26290.9
iconst1 iconst3 ishl iconst2 iconst5,,,539055
iconst1 ifne aconstNull aconstNull astore,,,9766.8
iconst1 ifne aconstNull astore gotoInsn,,,21620.4
iconst1 ifne pop aconstNull aconstNull,,,25239.7
iconst1 ifne pop aconstNull astore,,,19581.5
iconst1 ifne pop pop pop,,,26910.3
iconst1 istore iload iconst1 isub,,,19077.2
iconst1 isub dupX2 istore astore,,,84618.4
iconst1 isub istore iload iload,,,40200.3
iconst1 ixor iconst1 iand nop,,,1313.94
iconst1 putfield putfield getfield aload,,,908011
iconst1 putfield putfield putfield putfield,,,1.39E+06
iconst2 aload dupX1 iconst0 dup,,,4.49E+06
iconst2 aload dupX1 iconst4 aload,,,4.63E+06
iconst2 aload dupX1 ldc putfield,,,1.93E+06
iconst2 dup ishl iconst3 ixor,,,4.27E+06
iconst2 iconst3 ishl iconst2 ixor,,,536619
iconst2 iconst5 ixor iconst3 ishl,,,666845
iconst2 iconst5 ixor ixor aload,,,641534
iconst2 invokevirtual invokestatic istore aload,2,,13305.9
iconst2 invokevirtual invokestatic istore bipush,,,62419.3
iconst2 invokevirtual invokestatic istore iconst3,,,19033.3
iconst2 irem istore iload i2l,,,14714.2
iconst2 ixor iconst2 iconst3 ishl,,,946326
iconst2 ixor iconst3 iconst5 ixor,,,987898
iconst3 aload dupX1 iconst0 ldc,,,2.81E+06
iconst3 aload dupX1 iconst1 putfield,,,1.41E+06
iconst3 aload dupX1 ldc iconst0,,,3.94E+06
iconst3 dup ishl iconst2 ixor,,,4.15E+06
iconst3 iconst2 invokevirtual invokestatic istore,1,,85005.4
iconst3 iconst5 ixor iconst3 ishl,,,605422
iconst3 iconst5 ixor iconst4 ishl,,,1.51E+06
iconst3 invokespecial putfield newInsn dup,,,21966.5
iconst3 ishl aload invokevirtual dup,,,249736
iconst3 ishl iconst2 iconst5 ixor,,,450220
iconst3 ishl iconst2 ixor iconst3,,,463916
iconst3 ixor ixor iconst1 iconst3,,,1.45E+06
iconst4 aload iconst0 aload aload,,,43039.3
iconst4 ishl iconst2 dup ishl,,,1.14E+06
iconst5 invokevirtual astore aload gotoInsn,,,51058.7
iconst5 ixor iconst3 ishl aload,,,512489
iconst5 ixor iconst3 ishl iconst2,,,420851
iconst5 ixor iconst4 ishl iconst2,,,371702
iconst5 ixor ixor aload invokevirtual,,,173648
iconstM1 aload aconstNull dupX1 dupX2,,,386958
iconstM1 ifIcmpne aload invokevirtual istore,1,,5890.92
ifeq aload astore aload gotoInsn,,,34720.7
ifeq aload getfield invokevirtual iconst1,,,6431.18
ifeq iload newInsn dup newInsn,,,4915.24
ifge dup aload invokestatic invokespecial,,,136350
ifIcmple aload aload iload iload,1,,29539.2
ifIcmplt aload dup invokeinterface anewarray,,,1.13E+06
ifIcmpne aload invokevirtual istore iload,1,,11483.2
iflt aload aload iload dupX1,,,6052.39
iflt aload aload iload iinc,,,36268.2
ifne aconstNull aconstNull astore gotoInsn,,,21236.4
ifne aconstNull astore gotoInsn dload,,,37334.5
ifne aconstNull astore gotoInsn iinc,,,12080.3
ifne aconstNull astore gotoInsn ldc,,,36116.6
ifne aload areturn iconst1 ifne,,,72534.7
ifne getstatic ldc invokestatic invokevirtual,,,13655.9
ifne iconst0 gotoInsn iload iload,,,36666.6
ifne iconst1 ifne aconstNull astore,,,232536
ifne pop aconstNull aconstNull astore,,,13300
ifne pop aconstNull astore gotoInsn,,,37731.7
ifne pop iconst0 aconstNull astore,,,666570
ifne pop pop pop aconstNull,,,63646.9
ifnonnull ldc astore aload dup,,,44629.6
iinc dupX1 invokevirtual iload ixor,,,1.75E+06
iinc iload ixor i2c castore,,,132019
iload aaload dup astore ldc,,,46744.2
iload aload invokevirtual ifIcmplt aload,1,,7056.75
iload dupX1 invokevirtual iinc iload,,,383799
iload gotoInsn newInsn dup aload,,,18030.9
iload i2l iconst0 i2l lcmp,,,2437.45
iload iconst1 iadd dup istore,,,34048.2
iload iconst1 iadd istore iload,1,,9876.12
iload iconst1 isub invokevirtual checkcast,2,,4447.08
iload iconst1 isub istore iload,,,7095.46
iload iconst2 irem istore iload,,,23060.2
iload iconstM1 ifIcmpne aload invokevirtual,1,,6462.99
iload ifIcmple aload aload iload,1,,39112.7
iload iflt aload aload iload,,,38077
iload ifne iconst1 ifne aconstNull,,,227155
iload iinc dupX1 invokevirtual iload,,,390896
iload iload ifIcmple aload aload,1,,12052.9
iload iload imul istore iload,,,15095.8
iload iload invokevirtual invokeinterface pop,1,,9380.33
iload imul istore iload iconst2,,,29958
iload invokevirtual aload bipush iload,2,,20141
iload invokevirtual aload getfield aload,1,,5872.56
iload invokevirtual dup istore iconstM1,,,18234.8
iload invokevirtual getfield aload getfield,,,11304
iload invokevirtual iload invokevirtual getfield,,,35413.4
iload invokevirtual iload invokevirtual iload,,,11476.1
iload invokevirtual invokeinterface pop iload,1,,17588.4
iload invokevirtual istore iload iconstM1,1,,27654.6
iload invokevirtual ldc invokestatic invokevirtual,,,10853.6
iload invokevirtual ldc invokevirtual invokevirtual,2,,6301.27
iload ixor i2c castore iload,,,88290.8
imul istore iload iconst2 irem,,,13137.6
invokeinterface checkcast invokevirtual dup astore,,,46611.9
invokeinterface ifne getstatic ldc invokestatic,,,28476.2
invokeinterface pop iload iconst1 iadd,1,,10311.5
invokespecial aastore gotoInsn iload newInsn,,,14999.2
invokespecial aastore iload iconst1 isub,,,18398.1
invokespecial astore aload bipush aload,,,9210.79
invokespecial astore aload iconst2 aload,,,12328.6
invokespecial astore getfield aload invokevirtual,,,37255.6
invokespecial astore iconst0 dup istore,,,24201.7
invokespecial astore iconst0 istore gotoInsn,1,,4582.59
invokespecial astore newInsn dup invokespecial,,,7820.56
invokespecial invokevirtual aload dup dupX1,,,339021
invokespecial invokevirtual astore ldc aload,,,30177
invokespecial ldc invokestatic invokevirtual aload,,,4501.68
invokespecial ldc invokestatic invokevirtual invokevirtual,,,10162.7
invokespecial ldc ldc invokevirtual sipush,,,89540.8
invokespecial newInsn dup bipush invokespecial,,,6284.3
invokespecial newInsn dup sipush bipush,,,127590
invokespecial putfield getfield aload getfield,,,102531
invokespecial putfield getfield iconst0 invokevirtual,,,274425
invokespecial putfield invokespecial putfield invokespecial,,,456136
invokespecial putfield invokespecial putfield returnInsn,,,22815.8
invokespecial putfield newInsn dup bipush,,,20513.1
invokespecial putfield newInsn dup iconst3,,,57626.7
invokespecial putfield newInsn dup invokespecial,,,10761.8
invokespecial putfield putfield invokestatic invokevirtual,,,97590.9
invokespecial putfield putfield putfield getfield,,,1.53E+06
invokespecial putfield putfield putfield putfield,,,1.34E+06
invokespecial putfield putfield putfield returnInsn,,,271348
invokestatic astore getfield aload invokevirtual,,,40435.3
invokestatic astore lload lload lcmp,,,1055.1
invokestatic astore newInsn dup aload,,,6253.41
invokestatic checkcast putfield newInsn dup,,,20465.7
invokestatic d2i bipush irem iconst1,,,33453.2
invokestatic d2l lreturn iconst1 ifne,,,249974
invokestatic dup astore ldc iconst1,,,137958
invokestatic invokespecial aload getfield invokevirtual,,,2306.95
invokestatic invokespecial astore getfield aload,,,236684
invokestatic invokespecial ldc invokestatic invokevirtual,,,13360.4
invokestatic invokespecial putfield getfield aload,,,281737
invokestatic invokespecial putfield getfield iconst0,,,517250
invokestatic invokestatic checkcast putfield newInsn,,,7217.34
invokestatic invokestatic invokespecial putfield getfield,,,100584
invokestatic invokestatic invokestatic checkcast putfield,,,40704.7
invokestatic invokestatic invokevirtual getfield sipush,,,99352.5
invokestatic invokevirtual aload getfield iload,,,11939.6
invokestatic invokevirtual aload getfield ldc,,,6964.57
invokestatic invokevirtual dup astore gotoInsn,,,29442.9
invokestatic invokevirtual getfield sipush bipush,,,127619
invokestatic invokevirtual ifeq aload getfield,,,4813.23
invokestatic invokevirtual iload invokevirtual ldc,,,30714.6
invokestatic invokevirtual invokestatic astore invokestatic,,,24069.9
invokestatic invokevirtual invokevirtual astore aload,,,5725.16
invokestatic invokevirtual invokevirtual astore gotoInsn,,,6821.97
invokestatic invokevirtual invokevirtual astore newInsn,,,5112.18
invokestatic invokevirtual invokevirtual dup astore,,,18490.4
invokestatic invokevirtual invokevirtual getfield newInsn,,,7408.36
invokestatic invokevirtual invokevirtual invokespecial athrow,,,6824.59
invokestatic invokevirtual invokevirtual invokevirtual getfield,,,13734.9
invokestatic invokevirtual ldc invokestatic invokevirtual,,,8442.14
invokestatic invokevirtual pop2 pop2 pop2,,,1.03E+06
invokestatic istore aload bipush iconst2,1,,28611.2
invokestatic istore aload gotoInsn astore,,,47593.2
invokestatic istore aload iconst3 iconst2,1,,122195
invokestatic istore bipush iconst2 invokevirtual,,,57858.7
invokestatic istore gotoInsn iload iconst1,,,39408.3
invokestatic istore iconst3 iconst2 invokevirtual,,,55870.6
invokestatic putfield getfield ifnull aload,,,87828.9
invokevirtual aastore invokevirtual aconstNull iconst1,,,34135.3
invokevirtual aconstNull iconst1 anewarray dup,,,16686.4
invokevirtual aload aload dupX1 dupX2,,,194909
invokevirtual aload dup dupX1 dup2,,,4.06E+06
invokevirtual aload getfield iload iconst1,2,,13024.7
invokevirtual aload getfield ldc invokestatic,,,8582.38
invokevirtual aload iconst2 aload dupX1,,,153280
invokevirtual aload iconst3 aload dupX1,,,188848
invokevirtual aload ldc aload dupX2,,,81145.4
invokevirtual aload swap ifeq iload,,,646724
invokevirtual astore aload gotoInsn aload,,,19778.9
invokevirtual astore gotoInsn dup aload,,,31729.8
invokevirtual astore iconst0 istore iconst0,1,,9210.44
invokevirtual astore ldc aload aload,,,34357.5
invokevirtual checkcast invokevirtual ldc invokestatic,,,21904
invokevirtual checkcast invokevirtual newInsn dup,,,10077
invokevirtual dup astore gotoInsn aload,,,15556.3
invokevirtual dup astore ifnonnull ldc,,,7594.18
invokevirtual dup astore ifnonnull newInsn,,,2959.83
invokevirtual dup astore ifnull newInsn,,,2401.82
invokevirtual dup istore iconstM1 ifIcmpne,,,2081.82
invokevirtual dup newarray iconst1 dup,,,2.15E+06
invokevirtual getfield aload getfield aload,,,12924.8
