Zalcalの命令列,オリジナル,不明,ppl
dload ldc ddiv dstore ldc,2,2,14444.6
drem d2l lconst1 ladd lreturn,2,2,4927.07
dstore iload ifne dload invokestatic,2,2,25638.2
dsub ldc drem invokestatic d2i,2,2,7481.03
dup aload invokespecial astore aload,2,2,4037.2
dup invokespecial putfield aload getfield,2,2,4979.27
dup ldc invokespecial aload invokevirtual,2,2,7208.88
dup ldc invokespecial putfield aload,2,2,8777.79
getfield aload invokevirtual aload iconst0,2,2,13252.1
getfield iload invokevirtual checkcast invokevirtual,4,2,3844.94
getfield invokevirtual checkcast invokevirtual astore,2,2,10766.4
getfield lload bipush lshr l2i,,2,9605.85
getfield lload l2i invokevirtual checkcast,,2,9581.88
gotoInsn aload invokevirtual ldc invokevirtual,2,2,5342.01
iconst0 i2l bipush lshl lload,,2,67008.5
iconst1 anewarray dup iconst0 aload,2,2,8923.81
iconst1 isub invokevirtual checkcast invokevirtual,2,2,5111.33
iconst1 putfield aload ldc putfield,2,2,4153.31
iload ifne dload invokestatic d2i,2,2,12946.7
iload invokevirtual checkcast invokevirtual ldc,4,2,14819
iload newInsn dup newInsn dup,2,2,5888.83
invokespecial aload aconstNull putfield aload,2,2,5056.04
invokespecial ldc invokevirtual aload getfield,2,2,3557.32
invokespecial putfield aload aconstNull putfield,2,2,4092.54
invokestatic d2i iconst3 irem ireturn,2,2,4143.5
invokestatic d2l ldc lrem lconst1,2,2,2942.15
invokestatic invokespecial ldc invokevirtual aload,2,2,5636.64
invokestatic ldc drem d2l lconst1,2,2,2511.56
invokevirtual aload getfield aload getfield,2,2,1895.62
invokevirtual aload getfield iload invokevirtual,4,2,1315.57
invokevirtual aload getfield lload bipush,,2,8273.47
invokevirtual aload getfield lload l2i,,2,3894.71
invokevirtual aload getfield newInsn dup,2,2,2309.05
invokevirtual aload iconst0 putfield aload,2,2,8106.26
invokevirtual aload iconst1 putfield aload,2,2,5520.46
invokevirtual aload newInsn dup ldc,2,2,5435.37
invokevirtual i2l lload dup2X2 lxor,,2,575611
invokevirtual ifeq newInsn dup aload,2,2,7776.71
invokevirtual invokevirtual aload getfield iload,4,2,7248.67
invokevirtual invokevirtual aload getfield lload,,2,7484.73
invokevirtual invokevirtual astore aload areturn,2,2,3478.78
invokevirtual l2i bipush irem i2l,,2,32573.9
invokevirtual l2i bipush irem istore,4,2,9151.44
invokevirtual l2i i2l bipush lshl,,2,74541.9
invokevirtual ldc invokevirtual invokevirtual invokespecial,2,2,3312.27
invokevirtual ldc invokevirtual lload bipush,,2,15105.9
invokevirtual lload bipush lshr l2i,,2,13674
invokevirtual newInsn dup invokespecial astore,2,2,3307.15
irem i2l lload dup2X2 lxor,,2,2.42E+06
irem istore newInsn dup aload,4,2,14252
ireturn ldc dload dsub ldc,2,2,15889.8
istore dload ldc ddiv ldc,2,2,17306.1
istore newInsn dup aload invokestatic,6,2,6049.3
isub invokevirtual checkcast invokevirtual ldc,2,2,22343.8
l2i bipush irem i2l lload,,2,149932
l2i bipush irem istore newInsn,4,2,3003.36
l2i i2l bipush lshl lload,,2,74378.8
l2i iconst1 isub invokevirtual checkcast,,2,16104.2
l2i invokevirtual checkcast invokevirtual ldc,,2,68779.4
l2i invokevirtual ldc invokevirtual invokevirtual,,2,23921.3
ladd lreturn ldc dload ldc,2,2,40130.7
land lxor lstore lload l2i,,2,36410.9
lconst0 putfield aload lconst0 putfield,2,2,1964.19
lconst1 ladd lreturn ldc dload,2,2,18938.9
ldc dload dsub ldc drem,2,2,2553.05
ldc drem d2l lconst1 ladd,2,2,4515.45
ldc drem invokestatic d2i ireturn,2,2,8191.24
ldc invokespecial putfield aload getfield,2,2,6687.33
ldc invokevirtual aload getfield lload,,2,7967.05
ldc invokevirtual invokevirtual astore gotoInsn,2,2,4997.15
ldc invokevirtual lload bipush lshr,,2,5679.71
ldc lrem lconst1 ladd lreturn,2,2,4275.6
lload bipush lshr l2i iconst1,,2,5772.26
lload l2i invokevirtual checkcast invokevirtual,,2,11266.4
lreturn ldc dload ldc dsub,2,2,18820.1
lshl land lxor lstore newInsn,,2,38279.5
lshr l2i iconst1 isub invokevirtual,,2,15121.1
lshr l2i invokevirtual ldc invokevirtual,,2,45971.6
lushr land lxor lstore lload,,2,168147
lushr land lxor lstore newInsn,,2,45002.5
newInsn dup aload getfield invokespecial,2,2,4868.25
newInsn dup aload invokespecial astore,2,2,2289.04
newInsn dup aload invokespecial invokevirtual,2,2,3957.72
newInsn dup ldc invokespecial putfield,2,2,6202.82
putfield aload dconst1 putfield aload,2,2,5436.66
putfield aload iconst3 putfield aload,2,2,4901.18
putfield aload newInsn dup invokespecial,2,2,9214.55
sipush bipush bipush bipush bipush,2,2,72818
<code> <code> <code> <code> ldc,1,1,120.587
<code> <code> <code> <code> returnInsn,1,1,113.123
<code> <code> <code> aload ldc,1,1,4666.46
<code> <code> <code> aload newInsn,1,1,507.353
<code> <code> <code> invokestatic astore,1,1,2445.91
<code> <code> <code> invokestatic invokevirtual,1,1,1151.15
<code> <code> <code> ldc aload,1,1,3186.25
<code> <code> aload invokevirtual aload,1,1,1297.76
<code> <code> aload invokevirtual astore,1,1,3031.96
<code> <code> aload ldc invokevirtual,1,1,2515.94
<code> <code> aload newInsn dup,1,1,2186.62
<code> <code> invokestatic astore invokestatic,1,1,6891.08
<code> <code> invokestatic invokevirtual ldc,1,1,7102.5
<code> <code> lconst1 lstore newInsn,,1,1181.98
<code> <code> ldc aload invokevirtual,1,1,3775.03
<code> <code> newInsn dup aload,2,1,3121.05
<code> <code> newInsn dup invokespecial,1,1,4534.6
<code> aload aload invokespecial aload,1,1,2485.46
<code> aload aload putfield returnInsn,1,1,1179.62
<code> aload getfield invokevirtual aload,1,1,790.247
<code> aload getfield invokevirtual ldc,1,1,2603.42
<code> aload invokespecial aload aconstNull,1,1,5480.2
<code> aload invokevirtual aload getfield,1,1,1138.68
<code> aload invokevirtual astore aload,1,1,1553.49
<code> aload ldc invokevirtual ifeq,1,1,604.688
<code> aload newInsn dup ldc,1,1,4183.35
<code> invokestatic astore invokestatic invokevirtual,1,1,4903.03
<code> invokestatic invokevirtual ldc invokevirtual,1,1,7422.43
<code> lconst1 lstore aload ifnonnull,,1,53090.7
<code> lconst1 lstore newInsn dup,,1,24726
<code> ldc aload invokevirtual ifeq,1,1,821.089
